好的，請看這份音檔的繁體中文逐字稿：

[0:0] 歡迎收聽股癌，我是夢公。
[0:1] 本集節目由尼古清贊助。
[0:3] 戒煙如同投資，需要放棄短線刺激與快感，以追求長期健康複利。
[0:8] 過去我很常抽煙，一天兩包，聚會、工作、休息時間，一根接一根，直到後來為了自己與家人的健康才下定決心要戒煙。
[0:14] 當初我主要是靠戒煙貼片成功戒掉煙癮。
[0:17] 身為過來人，我蠻鼓勵大家可以嘗試戒煙輔助品。
[0:20] 今年8月，尼古清戒煙口含錠即將上市，使用簡單零門檻，像薄荷錠一樣放入口中即可快速緩解煙癮。
[0:27] 薄荷口感，清新口氣，戒煙新手也容易接受。
[0:30] 適合上班會議時使用，讓偏好低調的戒煙族也能夠隨時隨地的快速緩解。
[0:34] 另外，尼古清戒煙噴霧是品牌獨家劑型，一噴立即緩解，適合在社交通勤需要快速緩解不適的戒煙族群。
[0:41] 尼古清幫助戒除紙煙、電子煙以及加熱煙，讓你不被煙癮打擾，專注生活每一刻。
[0:46] 只靠個人意志力戒煙成功率通常低於5%，過程中最難的並非下定決心要開始戒除，而是每次煙癮來襲的瞬間，如何撐過戒斷症狀以及吸煙的衝動。
[0:56] 尼古清讓戒煙不只是硬撐，而是幫助戒煙者在重要時刻緩解當下的煙癮，一步步拿回生活中每一刻的主導權。
[1:4] 加安家物股份有限公司，台北市忠安區民生東路三段二號十樓，尼古清戒煙口含錠，二毫克，衛部藥輸字第0296054號。
[1:10] 尼古清戒煙噴霧，衛部藥輸字第027835號。
[1:14] 北市衛藥廣字第115060214號。
[1:16] 好，那明天對我來講是一個非常重要的日子，它就是《紅眼盧比》的登場日，我非常希望大家都可以，我相信啦，絕大多數的聽眾在我們的呼籲之下已經把它放進去Wishlist裡面。
[1:27] 那如果說你還沒有的話呢，希望你可以去試玩看看這款遊戲，你在Steam是可以找到試玩的，然後或者說如果後面評價是蠻不錯的，你想要試看看，想要挑戰看看都歡迎都去把這款遊戲找來玩。
[1:38] 它是以台灣非常優秀的遊戲開發團隊貝狗遊戲，他們所參與開發，那以及呢，小楠資本非常幸運可以去參與投資這樣子的一個優秀的團隊。
[1:49] 那其實我們後續還是有一些遊戲會持續的登場，像是下一款《暗華夜戰》預計在明後年會上，那這款大家現在在Steam上面也是已經可以找到它的試玩，歡迎都去玩看看。
[2:0] 那同時呢，我們也有一些遊戲是已經在市場上面在跑了，但是因為我們跟每個團隊可能簽的Deal是不一樣，所以有些我們不會公布。
[2:7] 但只能夠說這個算是我自己非常美好的一兩年，自己喜歡且覺得很讚很棒的團隊，都可以把它收進來去參與他們的一個成長，作為一個Evergreen Fund。
[2:18] 我們不會去要求我們的Founder或者是我們的團隊，他們必須要繳給我們怎麼樣的一個ROI或者怎麼樣。
[2:24] 我們就希望說我們給他們所需要的資源，我們也看準這些團隊，當然也不是說什麼隨便亂花錢，隨便找團隊亂丟，我們也是知道說他們有潛力。
[2:31] 一個願打一個願挨，然後一起去做出一般可能非常棒的遊戲，然後一起把台灣的遊戲帶到一個新的高度。
[2:38] 那這可能也是我自己接下來會比較想要去著重跟努力的一個方向，那也謝謝有像股癌這樣子一個節目，那可以讓我去把這些事情給分享出來。
[2:49] 因為如果你自己在那邊做的話，老實講，力氣就是沒有這麼大。
[2:53] 那當今天有一個節目，那有一些聽眾，有一些支持跟相信你的人，那大家一起在上面去做參與，一起去推廣的話，其實我們的力量是會大非常的多。
[3:2] 所以非常感謝大家的支持，希望《紅眼盧比》可以開出非常好的成績，也希望我們的下一款《暗華夜戰》以及我們已經在上市中的遊戲，可以持續的在全球市場裡面去造成那種現象級的反應。
[3:16] 就是真的很多事情是超出我們想像的，我們沒有想到說我們喜歡的這些團隊，他們的作品，我們當時就是覺得超棒的，可是哇他們竟然可以紅到國外去或什麼的。
[3:26] 這個是想都不敢想的東西，那我們希望在《紅眼盧比》也可以看到這樣子的一個情形，我們希望可以看到可能海外的一些實況主跟直播主會想要開箱這個作品，然後玩給大家看。
[3:36] 那亦或是我們也可以辦一些抽獎，我們可以去提供給我們忠實聽眾CD key這些，這個對我來講都小事情啦。
[3:44] 那如果可以讓更多人來參與，其實是不錯，因為我覺得說像最近的盤面比較辛苦一點嘛。
[3:48] 我自己有在想啊，就是可能多抽一點CD key啊，或者是說我可能把家裡的一些酷東西拿出來抽給大家，就是讓大家知道說在市場回檔的時候你不孤單嘛。
[3:55] 其實老實講，你要講絕對數字，我一定也是賠很多錢啦，因為大家在回檔都是不會好受的啦。
[4:2] 那你一個人苦，但是想到有別人跟你一起苦，可能就沒有這麼痛苦對不對？
[4:6] 一個人苦會覺得哇好難受，那可是呢，其實在這樣的一個市場比較震盪的一個過程之中，還是要去注意好自己的身體健康啦。
[4:14] 千萬不要說什麼炒股票炒到，整個人變得面目可憎啦，然後或者說講話是充滿那種暴力之氣，這個就是一個不好的現象。
[4:22] 那像最近有跟一個這個我們林口富霸，就是我們一個地方的好朋友聊天的時候，有講到這件事情。
[4:28] 其實我們最後面在做的事情都是希望股票不要去影響到生活。
[4:33] 那這個不要影響到生活其實是很多層面的，大家都以為說影響到生活一定是你可能賠錢的時候，不一定。
[4:38] 有可能是你今天是很賺錢的時候，然後你每天都只想要去搞更多，那就可能不知道家人可能要帶你出去，你說不要，我只要搞股票，我只要坐在盤前面。
[4:46] 你明知道峇厘島了，不要游泳，我只想要在那邊炒股。
