[0分0秒] 歡迎收聽股癌維生夢公,本集節目由NordVPN贊助。
[0分3秒] 7月了,暑假正式開始,大家的旅遊計畫應該都準備就緒了吧。
[0分7秒] 除了幫你規劃行程,也要提醒大家,NordVPN不只是VPN,而是一個全方位的數位安全解決方案。
[0分14秒] 只要一個App就可以阻止釣魚詐騙,提供反詐騙防護,進行暗網監控,還能夠封鎖彈出式廣告等。
[0分21秒] 為你的數位生活打造最堅實的防護網。
[0分24秒] 當然旅遊時想省錢,NordVPN依然是規劃行程的使用工具。
[0分28秒] 面對貴鬆鬆的機票,透過切換不同地區比較,對於想要精打細算控制預算的人來說,只要一鍵就可以完成切換,相當的實用。
[0分36秒] 除了比價,NordVPN也可以大大提升網路安全保障。
[0分39秒] 在規劃行程時常常會在家裡、咖啡廳或外出時使用各種網路環境去查資料定行程,但公共網路其實在安全性上較難掌握。
[0分47秒] 這個時候使用NordVPN就可以幫助加密網路連線,就算是在公共的WiFi環境下去查住宿機票或登入帳號來處理付款,也能夠多一層保障。
[0分56秒] 同時連線速度穩定,不太會影響到實際操作體驗。
[0分59秒] 如果周圍人已經在國外,NordVPN也可以切換回台灣的IP,連接熟悉的網站或常用服務,使用上會更加的順暢。
[1分6秒] 那像我自己最常用的一個使用情境就是當遇到軟體或是一些遊戲的鎖區,都可以透過NordVPN來解決。
[1分13秒] 而且現在NordVPN不只是支援手機、平板跟電腦,也已經支援Smart TV和Apple Vision Pro。
[1分18秒] 一個帳號最多可以同時使用於10台裝置,不論是在家或外出都能夠靈活的使用。
[1分24秒] 下載透過資訊欄的專屬連結NordVPN.com/guai,或在結帳的時候輸入優惠碼guai,立即享有期間限定優惠,購買兩年方案加送四個月,並提供30天退款保證,不滿意都能夠隨時取消,零風險嘗試。
[1分38秒] 好那這邊對我來說就是開始慢慢發現AI工具有些局限性啦,那當然這個我不會把它稱為是某一種瓶頸,它可能比較類似是就對於我的使用情境來說,它的甜蜜點已經到了,就是在往上的話,可能編輯效益是有感的遞減。
[1分52秒] 那當然對於一些朋友來講,它可能是馬農之類的,說不定現在每一代的AI變化對他來說都還是影響非常大。
[1分59秒] 那可是對我來講,就是我終於是走到可能在現在對我來說可能成本它是比較重要的一個環節了。
[2分6秒] 那怎麼說呢,像是Fable跟Opus 4.8其實在我的心目中是差不多的東西,我覺得在我的使用情境上。
[2分12秒] 每個人使用情境應該都是不太一樣啦,那但是在我的使用情境也就是讓他去幫我去找資料或者是我餵資料給他,然後讓他去做同整或者是說藉由我餵的資料,輸入之後呢,那訓練成我自己要的一個樣子,那就幫我爬東西,在外界Opus 4.8。
[2分28秒] 那在我的感受上是他跟Fable的差距其實已經沒有到很大,那如果今天我使用Fable的話,我反而會平白無故的燒掉一大堆的token。
[2分37秒] 那不知道大家有沒有類似的感受,還是說大家都還是覺得就是每一代AI模型,像我之前自己就是覺得說每一代AI模型就變化都還是很大,非常期待。
[2分46秒] 但現在開始已經是有一點會想要去往cost down的方向去走了,那我覺得這也是蠻神奇的一種體驗。
[2分52秒] 那像最近就我發現一些問題啦,就是說像過去朋友會去聽一些可能不管是某一些電話會議啊,或者小場的會議,那再來一些專家會議等等的,那過往呢可能就是說看誰聽完之後就會把它筆記生出來,那讓自己身邊一些比較要好的朋友稍微的看一下。
[3分10秒] 那有一次呢,因為還沒有人有時間去做筆記,可能當天場次比較多,所以呢朋友就把原始檔給我,讓我自己用我的AI去聽。
[3分18秒] 那過往我的AI去聽呢,你需要擔心的是它會不會漏掉一些重點,可是我覺得走到後來的模型基本上他們不太會漏掉重點。
[3分25秒] 但開始產生一個新的問題是,因為我想說讓Fable去跑看看,那跑一跑呢,因為一般我們把東西丟給這種AI就是反正我只要把指令下下去之後,我可能就離場了,我可能已經跑去喝咖啡,還說什麼吃個午餐卡個槍之類的,就是你就已經沒有在現場,你沒有盯著它啦。
[3分42秒] 那一般來講,你知道它會把事情做完,在那邊,那等到你需要的時候再把結論拿出來看嘛。
[3分48秒] 那只那一天就突然間靈機一動,我記得我有一個電話會議加聽,一去看,哇靠,他竟然還在跑,然後一去看我token,幹燒超多錢的。
[3分56秒] 就是呢,他燒的那個數量是基本上你去找公讀生可能找10個都還會找這樣。
[4分2秒] 那就是也不知道為什麼那個token會花到這麼多錢,那我去細部看他推理的步驟才知道,他為了追求準確,他是把整個錄音檔大概20幾分鐘,然後分成什麼十幾個片段,然後反复的去驗證。
[4分13秒] 那因為在錄音檔裡面呢,可能有些內容是我隨便舉例啦,我現在講一個字LT,我講LT,那當然LT對每個人的定義是不太一樣嘛。
[4分22秒] 那可是對於可能我再追供應鏈的就知道說LT有可能就代表是,所以像這類的的東西,可能是因為你也沒有跟AI非常詳細的去述明說它是一個什麼東西,所以每一個關鍵字或是它很簡單帶過的東西,三大廠,那這個AI就會查什麼叫三大廠之類的,所以它來來回回為了去求精確,他就燒掉超級多的token。
[4分41秒] 但這個東西對我們來講,其實我未必要你走到這麼精確,就是你這個多做的對我來說只是多花錢而已。
[4分48秒] 而且這個花錢已經不是可能幾十塊或是幾百塊,一兩千塊可以解決的東西,那就開始會產生一些問題,就你真的要盯著它。
[4分55秒] 所以在我自己的use case也開始理解,為什麼有一些科技巨頭現在會去限制大家的token,不要讓你token max,因為當然我們不會把它解釋成為說是什麼模型上的陰謀啦,故意來來回確認很多次,因為他們一定是可以講的非常好聽,就是他為了給你一個最標準的答案,所以他多做了一些確認嘛,來回的去對答案。
[5分13秒] 但這個來回有時候真的會做到太誇張,像有一個很簡單案例,其實我覺得你要去驗證你的AI到底行不行,你不應該去問你不知道的東西。
[5分21秒] 在你要去完全相信這個AI之前,請先去問你非常熟悉的東西,就是說你是果農,你就是問水果相關的東西。
[5分28秒] 那你是碼農,你就是問城市碼,那如果你是搞投資的,你就問一些投資理論的東西,其實你蠻高的機率都會發現說AI有其不足之處。
[5分37秒] 那可是現在很多人上網去吵架都是喜歡分享說AI講什麼,你就會想說,如果你讓AI來講你專業的東西,你立刻就可以抓到它錯,那你怎麼敢拿AI的東西到處去找人家吵架,因為AI它畢竟像是換覺或是一些這個資料拿錯,這個都還是會發生啦。
