[00:00] 歡迎收聽古愛,我是陳夢公,本集節目由喬志永國際有限公司贊助。
[00:04] 太熱了,夏天全民運動體味管理必須持有體香高界的古王Land藍體香膏。
[00:10] 有時候搭電梯大家突然開始研究天花板,或是捷運上一個位置空著,但大家寧願站著。
[00:15] 你以為這是社交距離,其實可能只是空氣有點精彩。
[00:19] 如果你不想成為人味道胃先到的人,請試試Land藍體香膏。
[00:23] 不含鋁鹽、酒精、重金屬等成分,還通過多項國家標準認證,用起來相對安心。
[00:29] 它不是拿來止汗,是幫你做好體味管理,香味最長可以維持約24小時。
[00:34] 早上擦一次,通勤開會、健身聚餐基本上都夠用。
[00:38] 手機錢包鑰匙,再加一個藍體香膏,差不多就是現代人的EDC。
[00:43] 別讓大家聞到你今天過得多辛苦。
[00:45] 現在夏日香香價只要699元,優惠只有到8月10號。
[00:49] 有需要的朋友可以在我們的資訊欄找到更多的說明與連結。
[00:52] 那這禮拜看到SpaceX的股價又繼續落底,但我還是非常勇敢的在持續去加碼。
[00:57] 後來就真的是越來越喜歡這家公司,那其實我跟SpaceX的緣分是締結於在2020年,那時候去美國玩的時候。
[01:03] 然後有一位聽眾就私訊我,跟我說,有機會可以去參觀SpaceX Ho的工廠。
[01:09] 那當時立刻就拿下這個機會,而且後來發現真的是千載難逢。
[01:13] 他們好像裡面的員工他每年就是有限的額度啦,然後可以去找自己身邊的朋友來看。
[01:20] 那這還有非常嚴格的身份審查跟確認啦。
[01:23] 那當時我有點類似說,就是不知道為什麼有這麼好的一個運氣,然後可以搭上特快車就一起上去了。
[01:31] 不然有時候可能去繞一些那種身份檢查,背景檢查就會花一陣子。
[01:34] 特別是他們裡面有一個這個非常嚴格的No China policy啊。
[01:39] 就是你只要是中國人的話,你是不可能可以進去的啦。
[01:41] 那我們也知道說就台灣人在海外很,大家就會把你算成是 part of China之類的。
[01:46] 那所以本來以為說,啊,完蛋了,會卡關這,就非常幸運的進去。
[01:50] 那裡面的各種接待跟服務呢,也都是非常的親切。
[01:54] 那看到了像是Falcon 9火箭,那也看到了Starlink的衛星以及各式各樣的火箭零組件,還有非常酷的公式文化,他們的辦公室跟一些倉儲都有辦法去看得到。
[02:04] 那覺得印象非常深刻,真的覺得這是一個超級偉大的工作跟事業。
[02:09] 那當時也因為太震撼了,所以呢,回到飯店就問我兒子說,你要不要射火箭。
